NUM,PINYIN,EXPECTED (GROUND TRUTH),QWERTY_model-016-23447,NINE_model-014-21074,SWIFTKEY_QWERTY,SWIFTKEY_NINE,FULL_SCORE,QWERTY_model-016-23447 SCORE,NINE_model-014-21074 SCORE,SWIFTKEY_QWERTY SCORE,SWIFTKEY_NINE SCORE
SUMMARY,-,-,-,-,-,-,10880,9397=0.86 (acc.),8383=0.77 (acc.),10106=0.93 (acc.),8962=0.82 (acc.)
1,chujingshouxuzainarbanli？,出境手续在哪儿办理？,处境手续在那里？,处零手续在马萨波利？,出境手续在哪儿办理？,出境手足无措哈马斯办理？,10,5,4,10,4
2,zhelidewuzinengqudiaoma？,这里的污渍能去掉吗？,这里的儿子能去调吗？,这里的物意能铺吗？,这里的屋子能去掉吗？,这里的五席梦思特稿吗？,10,7,6,8,4
3,woxianggenggaifeijixingcheng。,我想更改飞机行程。,我想更该飞机形成。,我想和该飞理形成。,我想更改飞机形成。,我想和你还飞机形成。,9,6,4,7,4
4,wojuedingqianzhegegongyule。,我决定签这个公寓了。,我决定前这个公寓了。,我决定签这个公寓了。,我决定前这个共娱乐。,我决定前这个公寓楼饿。,10,9,10,6,7
5,qinggeiwogebidefangjian。,请给我隔壁的房间。,请给我隔壁的房间。,请给我和词的房间。,请给我隔壁的房间。,请给我和别的啊迷恋。,9,9,7,9,4
6,huailegeimianfeiweixiuma？,坏了给免费维修吗？,坏了给免费维修吗？,坏此乐给免费为主吗？,坏了给免费维修吗？,坏了黑面扉页关注吗？,9,9,5,9,3
7,duibuqi，zhelihaoxiangshiwodeweizi。,对不起，这里好像是我的位子。,对不起，这里好像是我的尾字。,对不起，这里好像是我的唯一。,对不起，这里好像是我的位子。,对不起，这里好赛事在什么时候。,14,12,12,14,7
8,congxiazhoukaishiqimokaoshi。,从下周开始期末考试。,从下周开始期末考试。,从下周开始起末考师。,从下周开始期末考试。,按你下周开始期末考试。,10,10,8,10,8
9,biqigongyu，wogengxihuandumenduyuandefangzi。,比起公寓，我更喜欢独门独院的房子。,比起公宇，我更喜欢独们都愿的房子。,此日公物，我更喜欢理们都远的房子。,比起公寓，我更喜欢独门度元的房子。,鼻屎哦迷雾，我更喜欢独门复原的房子。,17,13,10,15,10
10,meigerenyaojiaoduoshaoqian？,每个人要交多少钱？,每个人要交多少钱？,每个人眼见多少钱？,每个人要交多少钱？,每个人眼里剥夺瞧瞧？,9,9,7,9,3
11,baomingchengxushizenyangde？,报名程序是怎样的？,报名程序是怎样的？,报名称物是怎样的？,报名程序是怎样的？,报名成五十万嗯样的？,9,9,7,9,4
12,wanshangqingdazhegehaomazhaowo。,晚上请打这个号码找我。,晚上请打这个号码着我。,晚上情打这个号拿着我。,晚上请打这个号码找我。,晚上思密达这个干嘛找我。,11,10,8,11,6
13,a，nameshiliangtianhouzouma？,啊，那么是两天后走吗？,啊，那么是两天后走吗？,啊，那么是两天后走吗？,啊，那么事良田后走马？,啊，那么时间护航女友吗？,11,11,11,7,5
14,qingnayigexiaowanlai，haofenzhechi。,请拿一个小碗来，好分着吃。,请哪一个小万来，好分这吃。,请哪一个小眼开，高分者吃。,请哪一个小碗来，好份着吃。,请吗之恶战要来，高分子代购。,13,10,8,11,4
15,xiulixuyaoduochangshijian？,修理需要多长时间？,修理需要多长时间？,主利需要多长时间？,修理需要多长时间？,住继续要多变还是叫？,9,9,7,9,2
16,zhegeyinliaoshimianfeidema？,这个饮料是免费的吗？,这个饮料是免费的吗？,这个饮件是免费的吗？,这个饮料是免费的吗？,这个心理暗示免费的那？,10,10,9,10,5
17,zhegezuoqiaoqianliwukeyima？,这个作乔迁礼物可以吗？,这个左桥潜力无可以吗？,这个做券偏继续可以吗？,这个座桥钱礼物可以吗？,这个孕前千里眼坦克姨妈？,11,6,6,8,2
18,zhelihoupaizuoyeyaojianquandai。,这里后排座也要系安全带。,这里后派作也要健全带。,这里后赛做也要健全带。,这里后排作业要健全带。,这里后排序哦也要健全带。,12,8,8,8,8
19,bukeyisuibianweidongwushiwu。,不可以随便喂动物食物。,不可一随便为动物时物。,不可以随便为动物事物。,不可易碎变为动物食物。,不可吸入还安慰动物食物。,11,8,9,7,6
20,qingbacaidangeiwonalaiyixia。,请把菜单给我拿来一下。,请把菜单给我拿来一下。,请把菜单给我拿来一下。,请把菜单给我拿来一下。,请把菜刀给我马来西亚哈。,11,11,11,11,6
21,wodekabeizidongqukuanjigeitunle。,我的卡被自动取款机给吞了。,我的咖贝子动取款机给臀了。,我得拉贝子动塑款及给拖了。,我的卡被自动取款机给吞了。,我的啦被移动取款机黑土哦了。,13,9,6,13,8
22,qushichangyaocongjihaochukouchuqu？,去市场要从几号出口出去？,趋市场要从计好出口出去？,如市场要从里好出口出去？,去市场要从极好出口处去？,去市场晚安秘籍好出口处去？,12,9,9,9,6
23,zhelishiqicheweixiubu。,这里是汽车维修部。,这里是汽车修部。,这里是汽车为修步。,这里是汽车维修部。,这里是汽车业害羞不。,9,8,7,9,5
24,buyaozheyang，zaixiangyixiang。,不要这样，再想一想。,不要这样，再想一想。,不要这样，在想一张。,不要这样，在想一向。,不要这样，在章子怡昂。,10,10,8,8,5
25,shide，yitianjihumeichidongxile。,是的，一天几乎没吃东西了。,是的，一天几乎没吃东西了。,是的，一天几乎没吃东西了。,使得，一天几乎没吃东西了。,使得，一天离婚低矮跟你一颗。,13,13,13,11,3
26,woxiangzhaoyigedaijiajudefangzi。,我想找一个带家具的房子。,我想找一个带价具的房子。,我想找一个代家具的房子。,我想找一个带家具的房子。,我想找一个代价觉得啊逆袭。,12,11,11,12,5
27,qingbuyaocuiwocuidetaiji。,请不要催我催得太急。,请不要吃我吃的太极。,请不要催我不得太激。,请不要催我催的太极。,请不要催我不个副处级。,10,6,8,8,5
28,ninyoushenmexuyaozhuangaodema？,您有什么需要转告的吗？,您有什么需要专稿的吗？,您有什么需要转的吗？,您有什么需要转告的吗？,您有什么需要一讨好的那？,11,9,10,11,7
29,nindechadianshiduoshaofen？,您的差点是多少分？,您的差点是多少分？,您的差点视多少分？,您的差点是多少分？,您的必备波士顿钱分？,9,9,8,9,3
30,bingjiazuiduonengqingjitian？,病假最多能请几天？,并家最多能清几天？,并家最多能请就好？,病假最多能请几天？,爱你家最多能请流感？,9,6,5,9,4
31,yanzhezhetiaoguodaozoudaotoujiushi。,沿着这条过道走到头就是。,验政这条过道走到头就是。,要这些天或担走到头就失。,沿着这条国道走到头就是。,完这些天混蛋走到投机同时。,12,10,5,11,2
32,cheshenmeshihoukeyiquzou？,车什么时候可以取走？,车什么时候可以去走？,别什么时候可以去走？,车什么时候可以去走？,啊个什么时候可以去有？,10,9,8,9,6
